Rank,City,Population
432,El Sobrante,"13,096"
433,Palos Verdes Estates,"13,052"
434,Larkspur,"12,928"
435,Emeryville,"12,870"
436,Solana Beach,"12,867"
437,Mendota,"12,735"
438,Grover Beach,"12,711"
439,San Anselmo,"12,693"
440,Marysville,"12,664"
441,Kingsburg,"12,662"
442,Lindsay,"12,630"
443,Big Bear City,"12,621"
444,Fortuna,"12,482"
445,Bonita,"12,470"
446,Lakeland Village,"12,362"
447,Tamalpais-Homestead Valley,"12,331"
448,Newman,"12,328"
449,San Marino,"12,254"
450,Scotts Valley,"12,232"
451,Commerce,"12,063"
452,Home Gardens,"12,027"
453,Lake Los Angeles,"11,926"
454,Rossmoor,"11,923"
455,Delhi,"11,837"
456,Hillcrest,"11,801"
457,Alum Rock,"11,798"
458,Los Alamitos,"11,695"
459,University of California-Santa Barbara,"11,671"
460,View Park-Windsor Hills,"11,621"
461,Winton,"11,619"
462,La Riviera,"11,570"
463,Signal Hill,"11,563"
464,Muscoy,"11,546"
465,Magalia,"11,444"
466,Anderson,"11,386"
467,Half Moon Bay,"11,363"
468,Diamond Springs,"11,332"
469,Valley Center,"11,320"
470,Healdsburg,"11,275"
471,Canyon Lake,"11,166"
472,Piedmont,"11,107"
473,Hillsborough,"11,016"
474,Sierra Madre,"11,013"
475,Clayton,"10,973"
476,Calimesa,"10,893"
477,Placerville,"10,869"
478,Fairview,"10,834"
479,Potomac Park,"10,833"
480,Morro Bay,"10,779"
481,Soquel,"10,721"
482,Sonoma,"10,644"
483,Blackhawk,"10,590"
484,Malibu,"10,429"
485,Del Aire,"10,424"
486,Shasta Lake,"10,423"
487,Oak Hills,"10,415"
488,Quartz Hill,"10,405"
489,Farmersville,"10,382"
490,Exeter,"10,324"
491,East Bakersfield,"10,254"
492,Golden Hills,"10,234"
493,Rio Vista,"10,217"
494,East Whitr,"10,182"
495 ,Corte Madera and Mentone,"10,141"
496,Citrus,"10,105"
497,Garden Acres,"10,096"
498,Marina del Rey,"10,065"
499,Rodeo,"10,023"
500 ,La Cresta and Madera Acres,"9,990"
501,Charter Oak,"9,963"
502,Capitola,"9,846"
503,San Diego Country Estates,"9,752"
504,Lake Arrowhead,"9,741"
505,Rio del Mar,"9,713"
506,Orange Cove,"9,619"
507,Fort Irwin,"9,573"
508,West Athens,"9,554"
509,Crestline,"9,351"
510,Live Oak,"9,285"
511,Country Club,"9,242"
512,Waterford,"9,158"
513,Tiburon,"9,052"
514,University of California-Davis,"9,031"
515,Cloverdale,"8,954"
516 ,Earlimart and Orosi,"8,908"
517,Midway City,"8,681"
518,Taft,"8,651"
519,Gonzales,"8,576"
520,Guadalupe,"8,546"
521,Good Hope,"8,431"
522,South San Gabriel,"8,420"
523,Heber,"8,413"
524,Spring Valley Lake,"8,408"
525,Orland,"8,322"
526,Los Altos Hills,"8,295"
527,Montecito,"8,210"
528,Corning,"8,209"
529,Rolling Hills Estates,"8,160"
530,Thousand Palms,"8,158"
531,Firebaugh,"8,108"
532,Topanga,"8,098"
533,Oroville East,"8,093"
534,Larkfield-Wikiup,"8,080"
535,August,"8,046"
536,Pismo Beach,"8,036"
537,Cherry Valley,"8,026"
538,Boyes Hot Springs,"8,006"
539,Alondra Park,"8,000"
540,Templeton,"7,965"
541,Vandenberg Village,"7,945"
542,Gold River,"7,930"
543,Westlake Village,"7,845"
544,Yreka,"7,826"
545,Rancho Mission Viejo,"7,816"
546,Joshua Tree,"7,786"
547,California Polytechnic State University,"7,713"
548,Franklin CDP,"7,709"
549,Plumas Lake,"7,687"
550,Alta Sierra CDP,"7,620"
551,Homeland,"7,613"
552,Oceano,"7,601"
553,Interlaken,"7,596"
554,Ojai,"7,590"
555,Woodlake,"7,577"
556,Escalon,"7,523"
557,Fairfax town,"7,521"
558,Hughson,"7,518"
559,Cotati,"7,498"
560,Sebastopol,"7,448"
561,Camp Pendleton Mainside,"7,424"
562,Kentfield,"7,423"
563,Lake Mathews,"7,389"
564,Ben Lomond,"7,378"
565,Gridley,"7,356"
566,Winters,"7,305"
567,Mammoth Lakes,"7,271"
568,Sausalito,"7,199"
569,Acton,"7,054"
570,Nuevo,"6,999"
571,Fort Bragg,"6,970"
572,Piñon Hills,"6,937"
573,Fowler,"6,934"
574,Atherton,"6,915"
575,Loomis,"6,868"
576,Mira Monte,"6,833"
577,East Foothills,"6,815"
578,Lemoore Station,"6,756"
579,Lucas Valley-Marinwood,"6,738"
580,Crescent City,"6,676"
581,Contra Costa Centre,"6,667"
582,Bermuda Dunes,"6,626"
583,Desert Palms,"6,599"
584,South Monrovia Island,"6,565"
585,Oak View,"6,557"
586,El Rio,"6,506"
587,San Martin,"6,498"
588,Thermalito,"6,495"
589,Pollock Pines,"6,480"
590,Eucalyptus Hills,"6,448"
591,Calipatria,"6,434"
592,Colusa,"6,428"
593,Ladera Heights,"6,419"
594,Castroville,"6,332"
595,Rancho Calaveras,"6,310"
596,Durham,"6,255"
597,Aptos,"6,245"
598,Willows,"6,244"
599,Huron,"6,222"
600,Highgrove,"6,201"
601,Pleasure Point,"6,173"
602,Gustine,"6,091"
603,El Granada,"6,069"
604,Silver Lakes,"6,050"
605,Solvang,"6,048"
606,Saranap,"6,027"
607,East Pasadena,"6,025"
608,Salton City,"5,975"
609,Hidden Valley Lake,"5,948"
610,Hilmar-Irwin,"5,937"
611,Camino Tassajara,"5,870"
612,Jamul,"5,776"
613,Dos Palos,"5,775"
614,Villa Park,"5,773"
615,Fruitridge Pocket,"5,771"
616,Denair,"5,702"
617,Lucerne Valley,"5,694"
618,Keyes,"5,691"
619,Mayflower Village,"5,687"
620,Rancho Murieta,"5,682"
621,Happy Valley,"5,652"
622,Williams,"5,615"
623,Old Fig Garden,"5,613"
624,Holtville,"5,582"
625,Garnet,"5,567"
626,West Modesto,"5,557"
627,Cambria,"5,555"
628,La Habra Heights,"5,551"
629,Twin Lakes CDP,"5,546"
630,Mecca,"5,541"
631,Cottonwood CDP,"5,435"
632,Oakhurst,"5,405"
633,East Porterville,"5,399"
634,Goshen,"5,387"
635,St. Helena,"5,386"
636,Burbank,"5,377"
637,Strawberry CDP,"5,325"
638,Ione,"5,323"
639,Boulder Creek,"5,305"
640,Yosemite Lakes,"5,303"
641,Cutler,"5,296"
642,Bear Valley Springs,"5,291"
643,El Cerrito,"5,269"
644,Paradise town,"5,268"
645,Greenacres,"5,255"
646,Elverta,"5,235"
647,Wilton,"5,224"
648,Benton Park,"5,212"
649,Palermo,"5,204"
650,Bonadelle Ranchos,"5,191"
651,Calistoga,"5,187"
652,Kensington,"5,171"
653,Buellton,"5,164"
654,Myrtletown,"5,143"
655,Lakeport,"5,135"
656,Woodside,"5,131"
657,Jackson,"5,101"
658,Las Flores CDP,"5,089"
659,Big Bear Lake,"5,068"
660,Bret Harte,"5,020"
661,Sonora,"5,004"
662,Willits,"4,969"
663,Tara Hills,"4,915"
664,Ford City,"4,909"
665,Needles,"4,903"
666 ,Coarsegold and Emerald Lake Hills,"4,893"
667,Mayfair,"4,878"
668,Indian Wells,"4,846"
669,Phoenix Lake,"4,820"
670,Pacheco,"4,775"
671,Guerneville,"4,747"
672,Santa Ynez,"4,728"
673,Lake Wildwood,"4,709"
674,Brisbane,"4,668"
675,Ivanhoe,"4,584"
676,Brooktrails,"4,559"
677,Sunnyside,"4,557"
678,Armona,"4,437"
679,Lenwood,"4,431"
680,McSwain,"4,429"
681,Running Springs,"4,410"
682,Clearlake Riviera,"4,408"
683,Wrightwood,"4,362"
684,Harbison Canyon,"4,355"
685,Lake of the Pines,"4,350"
686,Pixley,"4,322"
687,Mather,"4,304"
688,Portola Valley,"4,289"
689,North Richmond,"4,258"
690,Tarpey Village,"4,222"
691,Meadowbrook,"4,208"
692,Bonsall,"4,194"
693,Carmel Valley Village,"4,175"
694,Broadmoor,"4,140"
695,Granite Hills,"4,020"
696,Esparto,"4,009"
697,Lincoln Village,"3,991"
698,Planada,"3,984"
699,Coronita,"3,968"
700,Freedom,"3,959"
701,Lake San Marcos,"3,957"
702,Del Mar,"3,922"
703,Santa Venetia,"3,891"
704,Valley Springs,"3,890"
705,Green Acres,"3,855"
706,Bishop,"3,820"
707,Las Lomas,"3,818"
708,Woodbridge,"3,806"
709,Forestville,"3,788"
710,Wheatland,"3,787"
711,Del Monte Forest,"3,783"
712,Mojave,"3,780"
713,Greenfield,"3,777"
714 ,Bystrom and Burney,"3,763"
715,Angels,"3,758"
716,San Andreas,"3,729"
717,West Menlo Park,"3,720"
718,Shingle Springs,"3,710"
719,North El Monte,"3,709"
720,Mountain View Acres,"3,698"
721,Meiners Oaks,"3,697"
722,San Joaquin,"3,689"
723,Hidden Meadows,"3,675"
724,Kelseyville,"3,657"
725 ,Mono Vista and Vandenberg AFB,"3,646"
726 ,French Camp and Strathmore,"3,641"
727,Lake Isabella,"3,621"
728,Rollingwood,"3,612"
729,Madera Ranchos,"3,591"
730,Seacliff,"3,580"
731,Lockeford,"3,572"
732,Copperopolis,"3,566"
733,Fetters Hot Springs-Agua Caliente,"3,554"
734,Pine Hills,"3,547"
735,Campo,"3,536"
736,Squaw Valley,"3,511"
737 ,Pajaro and Mission Hills,"3,509"
738,Meadow Vista,"3,508"
739,Auburn Lake Trails,"3,495"
740,Agua Dulce,"3,494"
741,Rexland Acres,"3,487"
742,Desert Edge,"3,480"
743,Old Stine,"3,477"
744,East Richmond Heights,"3,473"
745,Moss Beach,"3,436"
746,Humboldt Hill,"3,435"
747,Morada,"3,419"
748,Angwin,"3,415"
749,Day Valley,"3,414"
750,Loyola,"3,404"
751,Monte Sereno,"3,396"
752,Tipton,"3,391"
753,Jamestown,"3,379"
754,Avalon,"3,377"
755,Arbuckle,"3,368"
756,Rio Dell,"3,367"
757,Yountville,"3,360"
758,Hoopa,"3,348"
759 ,Reliez Valley and Auberry,"3,321"
760,Bella Vista,"3,320"
761,Cutten,"3,315"
762,Weaverville,"3,308"
763,North Fork,"3,306"
764,Empire,"3,285"
765,Lake California,"3,276"
766,Val Verde,"3,261"
767,Desert View Highlands,"3,259"
768,El Verano,"3,256"
769,San Miguel CDP,"3,253"
770,Amesti,"3,240"
771,Mount Shasta,"3,236"
772,Vine Hill,"3,228"
773,Crockett,"3,205"
774,Felton,"3,197"
775,Carmel-by-the-Sea,"3,196"
776,Casa Conejo,"3,184"
777,Morongo Valley,"3,166"
778 ,Cottonwood and Frazier Park,"3,121"
779,Nevada City,"3,114"
780,San Antonio Heights,"3,113"
781,North Lakeport,"3,067"
782,Marin City,"3,040"
783,Lake Nacimiento,"3,021"
784,Cambrian Park,"3,015"
785,Dogtown,"3,006"
786,Stallion Springs,"2,996"
787,Highlands,"2,985"
788,Georgetown,"2,969"
789,Idyllwild-Pine Cove,"2,963"
790,Bonny Doon,"2,962"
791,Winchester,"2,957"
792,Pine Canyon,"2,939"
793,Kelly Ridge,"2,932"
794,Fairbanks Ranch,"2,929"
795,Loma Rica,"2,909"
796,Palo Cedro,"2,893"
797,Weedpatch,"2,879"
798,Kennedy,"2,877"
799,Weed,"2,873"
800,Montara,"2,833"
801,Kings Beach,"2,826"
802,Sage,"2,814"
803,Janesville,"2,803"
804,Pine Mountain Lake,"2,801"
805,Lake Shastina,"2,790"
806,Sutter,"2,789"
807,Bayview CDP,"2,787"
808,Pepperdine University,"2,764"
809 ,Dixon Lane-MeadowCreek and Romoland,"2,755"
810,Bayview,"2,754"
811,Riverdale,"2,727"
812,Parksdale,"2,725"
813 ,Crest and Santa Rosa Valley,"2,721"
814 ,Channel Islands Beach and Three Rivers,"2,699"
815,Alturas,"2,692"
816,Sutter Creek,"2,691"
817,Edwards AFB,"2,676"
818,Lucerne,"2,674"
819,East Sonora,"2,672"
820,Rancho Santa Fe,"2,657"
821,Lexington Hills,"2,656"
822,Hartley,"2,655"
823,Mission Canyon,"2,649"
824 ,Homestead Valley and Rose Hills,"2,619"
825,Aromas,"2,609"
826,South Oroville,"2,606"
827,Hayfork,"2,586"
828,North Shore,"2,580"
829,Ridgemark,"2,572"
830,Oasis,"2,554"
831,West Bishop,"2,553"
832,La Selva Beach,"2,544"
833,San Miguel,"2,536"
834,Twain Harte,"2,502"
835,Montalvin Manor,"2,490"
836,Lakeview,"2,452"
837,China Lake Acres,"2,450"
838,Hamilton City,"2,446"
839,Nice,"2,407"
840,Meyers,"2,396"
841,Parkwood,"2,394"
842,Terra Bella,"2,389"
843,East Oakdale,"2,370"
844,Penngrove,"2,368"
845,Sleepy Hollow,"2,366"
846,Calwa,"2,363"
847,Collierville,"2,354"
848,Woodlands,"2,331"
849,Ross,"2,327"
850,Shingletown,"2,291"
851,Boron,"2,280"
852,East Quincy,"2,279"
853,Sky Valley,"2,274"
854,Cabazon,"2,271"
855,Ahwahnee,"2,270"
856,Corralitos,"2,260"
857,Caruthers,"2,245"
858,Cayucos,"2,228"
859,Easton,"2,224"
860,Rainbow,"2,211"
861,Clearlake Oaks,"2,194"
862,Buckhorn,"2,175"
863,Centerville CDP,"2,170"
864,Bodfish,"2,164"
865,Weldon,"2,160"
866,San Juan Bautista,"2,143"
867,Piru,"2,126"
868,South Taft,"2,120"
869,Belvedere,"2,104"
870,Anza,"2,101"
871,Arnold,"2,099"
872,Richgrove,"2,098"
873,Chester,"2,088"
